Name,Rating,Number of Ratings,Checkins,Sources
Sakari Sushi Lounge,9.25,173,6113,1
Irina's Russian Restaurant & Bar,9.18,68,1789,1
Confluence Brewing Company,9.15,167,3539,1
Waveland Cafe,9.05,137,4221,1
El Bait Shop,8.93,417,19619,3
Fleming's Prime Steakhouse & Wine Bar,8.92,57,2560,2
Table 128 Bistro + Bar,8.90,73,N/A,1
Exile Brewing Co.,8.88,308,7149,1
Cooper's On 5th,8.79,30,N/A,1
G. Mig's 5th Street Pub,8.77,27,N/A,1
Mi Mexico,8.77,141,6039,1
Old Chicago,8.76,136,10706,1
Zombie Burger + Drink Lab,8.73,862,23826,2
Firetrucker Brewery,8.69,41,710,1
Splash Seafood Bar & Grill,8.64,65,1963,1
Wooly's,8.60,19,N/A,1
The Lift,8.57,118,8189,1
801 ChopHouse,8.54,40,N/A,1
High Life Lounge,8.53,120,N/A,2
515 Brewing Company,8.48,118,2265,1
Louie's Wine Dive,8.46,106,2404,2
Hessen Haus,8.43,283,16594,3
The Fremont,8.42,28,2237,1
Stevie C's,8.38,15,725,1
Fong's Pizza,8.36,158,N/A,1
Sambetti's,8.35,33,1013,1
Draught House 50,8.35,30,507,1
Chicago Speakeasy,8.33,25,N/A,1
Court Avenue Restaurant & Brewing Company,8.31,278,16231,2
University Library Cafe,8.29,82,3641,1
Beechwood Lounge,8.28,63,4885,1
Cooney's Tavern,8.28,49,1876,1
1908 Draught House,8.26,25,659,1
Francie's Bar & Grill,8.25,75,3223,2
The Royal Mile,8.25,271,14456,3
Crème Cupcake + Dessert,8.20,70,1348,1
Open Sesame,8.19,56,1695,1
Yankee Clipper,8.16,68,4285,2
Django,8.15,67,N/A,1
Hilton Garden Inn West Des Moines,8.08,19,N/A,1
Cosmopolitan Lounge,8.06,13,929,1
The Den,8.03,30,1331,1
Glen Oaks Country Club,8.03,31,7391,1
Flix Brewhouse,8.01,78,1076,1
Carl's Place,8.01,84,7402,1
Up-Down,8.01,214,3447,1
Granite City Food & Brewery,8.00,193,10654,2
Eatery / A,7.98,115,N/A,1
Bonefish Grill,7.97,20,N/A,1
Ingersoll Tap,7.96,10,229,1
The Flying Moose,7.94,47,2122,1
The Radish,7.93,32,N/A,1
Orlondo's Bar and Grill on Park,7.93,62,3599,1
Gas Lamp,7.93,68,5538,1
Down Under Bar & Grill,7.92,74,13024,1
Rube's Steakhouse & Lounge,7.92,25,N/A,1
The Blazing Saddle,7.92,104,9389,1
West End Lounge,7.90,19,2321,1
Strudl Haus,7.90,10,53,2
Park Avenue Pub,7.89,11,326,1
Ranallo's on Third,7.89,17,N/A,1
Wheel House Pizzeria & Pub,7.88,16,N/A,1
Zimm's Food & Spirits,7.86,12,N/A,1
Ruby Tuesday,7.85,28,N/A,1
Shorty's,7.85,64,3928,2
Americana Restaurant and Lounge,7.83,53,N/A,1
Texas Roadhouse,7.83,72,N/A,1
Dos Rios Cantina & Tequila Lounge,7.81,189,9788,1
Iowa Craft Beer Tent,7.81,24,126,1
Founders Irish Pub,7.80,28,846,1
Rock Bottom Restaurant & Brewery,7.78,179,10188,2
Z's Bar & Grill,7.77,11,235,1
Plaza Lanes Family Sports Complex,7.76,5,N/A,1
Vaudeville Mews,7.75,62,3936,1
Goodsons,7.75,67,4415,1
Okoboji Grill,7.75,22,N/A,1
Cheap Seats,7.74,23,950,1
Mary-Go-Round Lounge,7.74,14,665,1
The Front Row,7.73,26,2702,1
Blue Moon Piano Bar,7.73,120,6007,1
Star Bar,7.73,187,8871,3
O'Malley's,7.73,8,391,1
Saints Pub and Patio,7.72,148,22064,1
Jake's,7.72,30,3751,1
Norwood Inn,7.65,9,188,1
The LumberYard,7.65,20,N/A,1
Sam's Sports Bar & Grill,7.64,17,824,1
The Garden,7.57,64,4871,1
The Copper Cup,7.57,66,4820,1
AJ's on East Court,7.55,32,1684,1
Val Air Ballroom,7.47,17,N/A,1
Mickey's Irish Pub,7.43,182,21364,1
Wellman's Pub,7.37,17,N/A,1
The Continental Lounge,7.36,98,4658,1
Coda Lounge,7.36,22,461,2
Sam's Sports Bar & Grill,7.23,6,N/A,1
The Old Spaghetti Works,7.18,72,N/A,1
Olive Garden Italian Restaurant,7.14,14,N/A,1
Thunderhead Sports Bar & Grill,7.12,17,N/A,1
Hurricane Grill & Wings,7.11,19,N/A,1
Mad Meatball Pizzeria & Pub,7.10,21,N/A,1
Chicken Coop Sports Bar & Grill,7.10,22,N/A,1
Trostels Greenbriar Restaurant & Bar,7.09,25,N/A,1
The Other Place,7.08,28,N/A,1
Wellman's Pub & Rooftop,7.07,235,35194,2
Bar Louie,7.06,41,N/A,1
Wig & Pen Pizza Pub,7.05,46,N/A,1
Chili's Grill & Bar,7.05,34,N/A,1
Jethro's BBQ,7.05,52,N/A,1
Chili's Grill & Bar,6.42,13,N/A,1
Buffalo Wild Wings,5.66,14,N/A,1
Twin Peaks,5.45,23,N/A,1
